PROBEID	GENENAME
213437_at	RUN and FYVE domain containing 3
213438_at	neurofascin
213439_x_at	RUN domain containing 3A
213440_at	RAB1A, member RAS oncogene family
213441_x_at	SAM pointed domain containing ETS transcription factor
213442_x_at	SAM pointed domain containing ETS transcription factor
213443_at	TNFRSF1A-associated via death domain
213444_at	zinc finger protein 862
213445_at	zinc finger CCCH-type containing 3
213446_s_at	IQ motif containing GTPase activating protein 1
213447_at	small nuclear ribonucleoprotein polypeptide N
213447_at	imprinted in Prader-Willi syndrome (non-protein coding)
213447_at	small nucleolar RNA, C/D box 107
213447_at	Prader Willi/Angelman region RNA, SNRPN neighbor
213447_at	small nucleolar RNA, C/D box 116-4
213447_at	small nucleolar RNA, C/D box 116-22
213447_at	small nucleolar RNA, C/D box 115-7
213447_at	small nucleolar RNA, C/D box 115-13
213447_at	small nucleolar RNA, C/D box 115-26
213447_at	small nucleolar RNA, C/D box 116-28
213448_at	NA
213449_at	POP1 homolog, ribonuclease P/MRP subunit
213450_s_at	inducible T-cell co-stimulator ligand
213451_x_at	tenascin XA (pseudogene)
213451_x_at	tenascin XB
213452_at	zinc finger protein 184
213453_x_at	glyceraldehyde-3-phosphate dehydrogenase
213454_at	cortistatin
213454_at	apoptosis-inducing, TAF9-like domain 1
213454_at	APITD1-CORT readthrough
213455_at	family with sequence similarity 114, member A1
213456_at	sclerostin domain containing 1
213457_at	malignant fibrous histiocytoma amplified sequence 1
213458_at	family with sequence similarity 149, member B1
213459_at	ribosomal protein L37a
213460_x_at	NOP2/Sun domain family, member 5 pseudogene 2
213460_x_at	NOP2/Sun domain family, member 5 pseudogene 1
213461_at	nudix (nucleoside diphosphate linked moiety X)-type motif 21
213462_at	neuronal PAS domain protein 2
213463_s_at	family with sequence similarity 149, member B1
213464_at	SHC (Src homology 2 domain containing) transforming protein 2
213465_s_at	protein phosphatase 1, regulatory subunit 7
213466_at	RAB40C, member RAS oncogene family
213467_at	Rho family GTPase 2
213468_at	excision repair cross-complementation group 2
213469_at	post-GPI attachment to proteins 1
213470_s_at	heterogeneous nuclear ribonucleoprotein H1 (H)
213471_at	nephronophthisis 4
213472_at	heterogeneous nuclear ribonucleoprotein H1 (H)
213473_at	BRCA1 associated protein
213474_at	potassium channel tetramerization domain containing 7
213474_at	RAB guanine nucleotide exchange factor (GEF) 1
213475_s_at	integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide)
213476_x_at	tubulin, beta 3 class III
213477_x_at	eukaryotic translation elongation factor 1 alpha 1
213478_at	kazrin, periplakin interacting protein
213479_at	neuronal pentraxin II
213480_at	vesicle-associated membrane protein 4
213481_at	S100 calcium binding protein A13
213482_at	dedicator of cytokinesis 3
213483_at	peptidylprolyl isomerase domain and WD repeat containing 1
213484_at	adducin 2 (beta)
213485_s_at	ATP-binding cassette, sub-family C (CFTR/MRP), member 10
213486_at	coatomer protein complex, subunit gamma 2
213486_at	COPG2 imprinted transcript 1 (non-protein coding)
213487_at	mitogen-activated protein kinase kinase 2
213488_at	sushi, nidogen and EGF-like domains 1
213489_at	microtubule-associated protein, RP/EB family, member 2
213490_s_at	mitogen-activated protein kinase kinase 2
213491_x_at	ribophorin II
213492_at	collagen, type II, alpha 1
213493_at	sushi, nidogen and EGF-like domains 1
213494_s_at	YY1 transcription factor
213495_s_at	ribosome binding protein 1
213496_at	lipid phosphate phosphatase-related protein type 4
213497_at	ankyrin repeat and BTB (POZ) domain containing 2
213498_at	cAMP responsive element binding protein 3-like 1
213499_at	chloride channel, voltage-sensitive 2
213500_at	NA
213501_at	acyl-CoA oxidase 1, palmitoyl
213502_x_at	glucuronidase, beta pseudogene 11
213503_x_at	annexin A2
213504_at	COP9 signalosome subunit 6
213505_s_at	SURP and G patch domain containing 2
213506_at	coagulation factor II (thrombin) receptor-like 1
213507_s_at	karyopherin (importin) beta 1
213508_at	serine palmitoyltransferase, small subunit A
213509_x_at	carboxylesterase 2
213510_x_at	ubiquitin specific peptidase 32 pseudogene 2
213511_s_at	myotubularin related protein 1
213512_at	chromosome 14 open reading frame 79
213513_x_at	actin related protein 2/3 complex, subunit 2, 34kDa
213514_s_at	diaphanous-related formin 1
213515_x_at	hemoglobin, gamma G
213515_x_at	hemoglobin, gamma A
213516_at	A kinase (PRKA) anchor protein 13
213517_at	poly(rC) binding protein 2
213518_at	protein kinase C, iota
213519_s_at	laminin, alpha 2
213520_at	RecQ helicase-like 4
213521_at	protein tyrosine phosphatase, non-receptor type 18 (brain-derived)
213522_s_at	solute carrier family 16 (monocarboxylate transporter), member 3
213522_s_at	casein kinase 1, delta
213523_at	cyclin E1
213524_s_at	G0/G1 switch 2
213525_at	NA
213526_s_at	lin-37 DREAM MuvB core complex component
213527_s_at	zinc finger protein 688
213528_at	methyltransferase like 18
213529_at	zinc finger protein 688
213530_at	RAB3 GTPase activating protein subunit 1 (catalytic)
213531_s_at	RAB3 GTPase activating protein subunit 1 (catalytic)
213532_at	ADAM metallopeptidase domain 17
213533_at	neuron specific gene family member 1
213534_s_at	PAS domain containing serine/threonine kinase
213535_s_at	ubiquitin-conjugating enzyme E2I
213536_s_at	ubiquitin-conjugating enzyme E2I
213537_at	major histocompatibility complex, class II, DP alpha 1
213538_at	SON DNA binding protein
213539_at	CD3d molecule, delta (CD3-TCR complex)
213540_at	hydroxysteroid (17-beta) dehydrogenase 8
213541_s_at	v-ets avian erythroblastosis virus E26 oncogene homolog
213542_at	zinc finger protein 710
213543_at	sarcoglycan, delta (35kDa dystrophin-associated glycoprotein)
213544_at	inhibitor of growth family, member 2
213545_x_at	sorting nexin 3
213546_at	uncharacterized protein DKFZp586I1420
213547_at	cullin-associated and neddylation-dissociated 2 (putative)
213548_s_at	CDV3 homolog (mouse)
213549_at	PDZ domain containing 8
213550_s_at	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 2, 8kDa
213550_s_at	IK cytokine, down-regulator of HLA II
213550_s_at	transmembrane and coiled-coil domains 6
213551_x_at	CDGSH iron sulfur domain 3
213551_x_at	polycomb group ring finger 2
213552_at	glucuronic acid epimerase
213553_x_at	apolipoprotein C-I
213554_s_at	CDV3 homolog (mouse)
213555_at	RWD domain containing 2A
213556_at	phospholipase A2 inhibitor and LY6/PLAUR domain containing
213557_at	cyclin-dependent kinase 12
213558_at	piccolo presynaptic cytomatrix protein
213559_s_at	zinc finger protein 467
213560_at	growth arrest and DNA-damage-inducible, beta
213561_at	anti-silencing function 1A histone chaperone
213561_at	minichromosome maintenance 9 homologous recombination repair factor
213562_s_at	squalene epoxidase
213563_s_at	tubulin, gamma complex associated protein 2
213564_x_at	lactate dehydrogenase B
213565_s_at	SMAD family member 6
213566_at	ribonuclease, RNase A family, k6
213567_at	karyopherin alpha 4 (importin alpha 3)
213568_at	odd-skipped related transciption factor 2
213569_at	uncharacterized LOC100506603
213570_at	eukaryotic translation initiation factor 4E family member 2
213571_s_at	eukaryotic translation initiation factor 4E family member 2
213572_s_at	serpin peptidase inhibitor, clade B (ovalbumin), member 1
213573_at	karyopherin (importin) beta 1
213574_s_at	karyopherin (importin) beta 1
213575_at	transformer 2 alpha homolog (Drosophila)
213577_at	squalene epoxidase
213578_at	bone morphogenetic protein receptor, type IA
213579_s_at	E1A binding protein p300
213580_at	CREB/ATF bZIP transcription factor
213581_at	programmed cell death 2
213582_at	ATPase, class VI, type 11A
213583_x_at	eukaryotic translation elongation factor 1 alpha 1
213584_s_at	CREB/ATF bZIP transcription factor
213585_s_at	programmed cell death 2
213586_at	cyclin-dependent kinase inhibitor 2D (p19, inhibits CDK4)
213587_s_at	ATPase, H+ transporting V0 subunit e2
213588_x_at	ribosomal protein L14
213589_s_at	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase-like 1
213590_at	solute carrier family 16 (monocarboxylate transporter), member 5
213591_at	aldehyde dehydrogenase 7 family, member A1
213592_at	apelin receptor
213593_s_at	transformer 2 alpha homolog (Drosophila)
213594_x_at	serine/arginine-rich splicing factor 10
213595_s_at	CDC42 binding protein kinase alpha (DMPK-like)
213596_at	caspase 4, apoptosis-related cysteine peptidase
213597_s_at	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase-like
213598_at	NA
213599_at	Opa interacting protein 5
213600_at	signal-induced proliferation-associated 1 like 3
213601_at	slit guidance ligand 1
213602_s_at	matrix metallopeptidase 11
213603_s_at	ras-related C3 botulinum toxin substrate 2 (rho family, small GTP binding protein Rac2)
213604_at	transcription elongation factor B (SIII), polypeptide 3 (110kDa, elongin A)
213605_s_at	putative POM121-like protein 1-like
213606_s_at	Rho GDP dissociation inhibitor (GDI) alpha
213607_x_at	NAD kinase
213608_s_at	SRR1 domain containing
213609_s_at	seizure related 6 homolog (mouse)-like
213610_s_at	kelch-like family member 23
213610_s_at	PHOSPHO2-KLHL23 readthrough
213611_at	aquaporin 5
213612_x_at	neuroblastoma breakpoint family, member 1
213612_x_at	neuroblastoma breakpoint family, member 14
213612_x_at	neuroblastoma breakpoint family, member 12
213612_x_at	neuroblastoma breakpoint family, member 15
213612_x_at	neuroblastoma breakpoint family, member 9
213612_x_at	neuroblastoma breakpoint family, member 8
213612_x_at	neuroblastoma breakpoint family, member 10
213612_x_at	neuroblastoma breakpoint family, member 20
213613_s_at	NAD kinase
213614_x_at	eukaryotic translation elongation factor 1 alpha 1
213615_at	lysophosphatidylcholine acyltransferase 3
213616_at	tubulin polyglutamylase complex subunit 2
213617_s_at	tubulin polyglutamylase complex subunit 2
213618_at	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2
213618_at	uncharacterized LOC101928667
213619_at	heterogeneous nuclear ribonucleoprotein H1 (H)
213620_s_at	proline rich 29
213620_s_at	intercellular adhesion molecule 2
213621_s_at	guanylate kinase 1
213622_at	collagen, type IX, alpha 2
213623_at	kinesin family member 3A
213624_at	sphingomyelin phosphodiesterase, acid-like 3A
213625_at	zinc finger with KRAB and SCAN domains 4
213626_at	carbonyl reductase 4
213627_at	melanoma antigen family D2
213628_at	chloride channel CLIC-like 1
213629_x_at	metallothionein 1F
213630_at	NAC alpha domain containing
213631_x_at	dihydroorotate dehydrogenase (quinone)
213632_at	dihydroorotate dehydrogenase (quinone)
213633_at	SH3-domain binding protein 1
213634_s_at	tRNA 5-methylaminomethyl-2-thiouridylate methyltransferase
213635_s_at	scaffold attachment factor B
213636_at	PHD finger protein 24
213637_at	DEAD (Asp-Glu-Ala-Asp) box polypeptide 52
213638_at	phosphatase and actin regulator 1
213639_s_at	zinc finger protein 500
213640_s_at	lysyl oxidase
213641_at	zinc finger protein 500
213642_at	NA
213643_s_at	inositol polyphosphate-5-phosphatase B
213644_at	centrosomal protein 112kDa
213645_at	enolase superfamily member 1
213646_x_at	tubulin, alpha 1b
213647_at	DNA replication helicase/nuclease 2
213648_at	exosome component 7
213649_at	serine/arginine-rich splicing factor 7
213650_at	golgin A8 family, member A
213650_at	golgin A8 family, member B
213651_at	inositol polyphosphate-5-phosphatase J
213652_at	proprotein convertase subtilisin/kexin type 5
213653_at	methyltransferase like 3
213654_at	TAF5-like RNA polymerase II, p300/CBP-associated factor (PCAF)-associated factor, 65kDa
213655_at	NA
213656_s_at	kinesin light chain 1
213657_s_at	NA
213658_at	NA
213659_at	zinc finger protein 75D
213660_s_at	topoisomerase (DNA) III beta
213661_at	peptidase domain containing associated with muscle regeneration 1
213662_at	family with sequence similarity 134, member B
213663_s_at	family with sequence similarity 134, member B
213664_at	solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter, system Xag), member 1
213665_at	SRY (sex determining region Y)-box 4
213666_at	septin 6
213667_at	Snf2-related CREBBP activator protein
213667_at	transmembrane protein 265
213668_s_at	SRY (sex determining region Y)-box 4
213669_at	FCH domain only 1
213670_x_at	NOP2/Sun domain family, member 5 pseudogene 1
213671_s_at	methionyl-tRNA synthetase
213671_s_at	microRNA 6758
213672_at	methionyl-tRNA synthetase
213672_at	microRNA 6758
213673_x_at	neudesin neurotrophic factor
213674_x_at	immunoglobulin heavy constant gamma 1 (G1m marker)
213674_x_at	immunoglobulin heavy constant delta
213675_at	parvin, alpha
213676_at	transmembrane protein 151B
213677_s_at	PMS1 homolog 1, mismatch repair system component
213678_at	transmembrane protein 151B
213679_at	tetratricopeptide repeat domain 30A
213680_at	keratin 6B, type II
213681_at	cysteine/histidine-rich 1
213682_at	nucleoporin 50kDa
213683_at	acyl-CoA synthetase long-chain family member 6
213684_s_at	PDZ and LIM domain 5
213685_at	TCEB3 antisense RNA 1
213686_at	vacuolar protein sorting 13 homolog A (S. cerevisiae)
213687_s_at	ribosomal protein L35a
213688_at	calmodulin 1 (phosphorylase kinase, delta)
213688_at	calmodulin 2 (phosphorylase kinase, delta)
213688_at	calmodulin 3 (phosphorylase kinase, delta)
213689_x_at	family with sequence similarity 69, member A
213690_s_at	PTOV1 antisense RNA 2
213691_at	PTOV1 antisense RNA 2
213692_s_at	vitamin D (1,25- dihydroxyvitamin D3) receptor
213693_s_at	mucin 1, cell surface associated
213694_at	round spermatid basic protein 1
213695_at	paraoxonase 3
213696_s_at	mediator complex subunit 8
213697_at	homeodomain interacting protein kinase 3
213698_at	ZMYM6 neighbor
213698_at	zinc finger, MYM-type 6
213699_s_at	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, theta
213700_s_at	pyruvate kinase, muscle
213701_at	chromosome 12 open reading frame 29
213702_x_at	N-acylsphingosine amidohydrolase (acid ceramidase) 1
213703_at	long intergenic non-protein coding RNA 342
213704_at	Rab geranylgeranyltransferase, beta subunit
213704_at	small nucleolar RNA, C/D box 45B
213704_at	small nucleolar RNA, C/D box 45A
213704_at	small nucleolar RNA, C/D box 45C
213705_at	methionine adenosyltransferase II, alpha
213705_at	gamma-glutamyl carboxylase
213706_at	glycerol-3-phosphate dehydrogenase 1 (soluble)
213707_s_at	distal-less homeobox 5
213708_s_at	MLX, MAX dimerization protein
213709_at	basic helix-loop-helix domain containing, class B, 9
213710_s_at	calmodulin 1 (phosphorylase kinase, delta)
213711_at	keratin 81, type II
213712_at	ELOVL fatty acid elongase 2
213713_s_at	galactosidase, beta 1-like 2
213714_at	calcium channel, voltage-dependent, beta 2 subunit
213715_s_at	KN motif and ankyrin repeat domains 3
213716_s_at	secreted and transmembrane 1
213717_at	LIM domain binding 3
213718_at	RNA binding motif protein 4
213718_at	RBM14-RBM4 readthrough
213719_s_at	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4
213720_s_at	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4
213721_at	SRY (sex determining region Y)-box 2
213722_at	SRY (sex determining region Y)-box 2
213723_s_at	iduronidase, alpha-L-
213724_s_at	pyruvate dehydrogenase kinase, isozyme 2
213725_x_at	xylosyltransferase I
213726_x_at	tubulin, beta 4B class IVb
213727_x_at	metallophosphoesterase 1
213728_at	lysosomal-associated membrane protein 1
213729_at	PRP40 pre-mRNA processing factor 40 homolog A
213730_x_at	transcription factor 3
213731_s_at	transcription factor 3
213732_at	transcription factor 3
213733_at	myosin IF
213734_at	replication factor C (activator 1) 5, 36.5kDa
213735_s_at	cytochrome c oxidase subunit Vb
213736_at	cytochrome c oxidase subunit Vb
213737_x_at	golgin A8 family, member N
213738_s_at	ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle
213739_at	uncharacterized LOC103344931
213740_s_at	zinc finger protein-like 1
213740_s_at	transmembrane protein 262
213741_s_at	karyopherin alpha 1 (importin alpha 5)
213742_at	serine/arginine-rich splicing factor 11
213743_at	cyclin T2
213744_at	attractin-like 1
213745_at	attractin-like 1
213746_s_at	filamin A, alpha
213747_at	antizyme inhibitor 1
213748_at	tripartite motif containing 66
213749_at	mannan-binding lectin serine peptidase 1 (C4/C2 activating component of Ra-reactive factor)
213750_at	ribosomal L1 domain containing 1
213751_at	protein phosphatase 1, regulatory subunit 37
213752_at	kazrin, periplakin interacting protein
213753_x_at	eukaryotic translation initiation factor 5A
213754_s_at	poly(A) binding protein interacting protein 1
213755_s_at	SKI proto-oncogene
213756_s_at	heat shock transcription factor 1
213757_at	NA
213758_at	cytochrome c oxidase subunit IV isoform 1
213759_at	ADP-ribosylation factor-like 4C
213760_s_at	zinc finger protein 330
213761_at	Mdm1 nuclear protein
213762_x_at	RNA binding motif protein, X-linked
213762_x_at	small nucleolar RNA, C/D box 61
213762_x_at	uncharacterized LOC101928747
213763_at	homeodomain interacting protein kinase 2
213764_s_at	microfibrillar associated protein 5
213765_at	microfibrillar associated protein 5
213766_x_at	guanine nucleotide binding protein (G protein), alpha 11 (Gq class)
213767_at	kinase suppressor of ras 1
213768_s_at	achaete-scute family bHLH transcription factor 1
213769_at	kinase suppressor of ras 1
213770_at	kinase suppressor of ras 1
213771_at	interferon regulatory factor 2 binding protein 1
213772_s_at	golgi-associated, gamma adaptin ear containing, ARF binding protein 2
213773_x_at	NOP2/Sun domain family, member 5
213774_s_at	protein phosphatase 1, regulatory (inhibitor) subunit 2
213775_x_at	zinc finger protein 638
213775_x_at	ZNF638 intronic transcript 1
213776_at	uncharacterized LOC157562
213777_s_at	CREB/ATF bZIP transcription factor
213778_x_at	zinc finger protein 276
213779_at	EMI domain containing 1
213780_at	trichohyalin
213781_at	protein phosphatase 1, regulatory subunit 37
213782_s_at	myozenin 2
213783_at	MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase
213784_at	intraflagellar transport 27
213785_at	importin 9
213786_at	Tax1 (human T-cell leukemia virus type I) binding protein 1
213787_s_at	emopamil binding protein (sterol isomerase)
213788_s_at	bromodomain containing 3
213789_at	emopamil binding protein (sterol isomerase)
213790_at	ADAM metallopeptidase domain 12
213791_at	proenkephalin
213792_s_at	insulin receptor
213793_s_at	homer scaffolding protein 1
213794_s_at	neuroguidin, EIF4E binding protein
213795_s_at	protein tyrosine phosphatase, receptor type, A
213796_at	small proline-rich protein 1A
213797_at	radical S-adenosyl methionine domain containing 2
213798_s_at	CAP, adenylate cyclase-associated protein 1 (yeast)
213799_s_at	protein tyrosine phosphatase, receptor type, A
213800_at	complement factor H
213801_x_at	ribosomal protein SA
213801_x_at	small nucleolar RNA, H/ACA box 62
213801_x_at	ribosomal protein SA pseudogene 58
213801_x_at	small nucleolar RNA, H/ACA box 6
213801_x_at	ribosomal protein SA pseudogene 9
213801_x_at	ribosomal protein SA pseudogene 19
213802_at	protease, serine, 12 (neurotrypsin, motopsin)
213803_at	karyopherin (importin) beta 1
213804_at	inositol polyphosphate-5-phosphatase B
213805_at	abhydrolase domain containing 5
213806_at	purine-rich element binding protein A
213807_x_at	MET proto-oncogene, receptor tyrosine kinase
213808_at	ADAM metallopeptidase domain 23
213809_x_at	transcription factor 3
213810_s_at	akirin 2
213811_x_at	transcription factor 3
213812_s_at	calcium/calmodulin-dependent protein kinase kinase 2, beta
213813_x_at	NA
213814_s_at	syntrophin, beta 2 (dystrophin-associated protein A1, 59kDa, basic component 2)
213815_x_at	cactin, spliceosome C complex subunit
213816_s_at	MET proto-oncogene, receptor tyrosine kinase
213817_at	interleukin-1 receptor-associated kinase 3
213818_x_at	transmembrane protein 179B
213818_x_at	transmembrane protein 223
213819_s_at	flotillin 1
213820_s_at	StAR-related lipid transfer (START) domain containing 5
213821_s_at	iduronate 2-sulfatase
213822_s_at	ubiquitin protein ligase E3B
213823_at	homeobox A11
213824_at	oligodendrocyte lineage transcription factor 2
213825_at	oligodendrocyte lineage transcription factor 2
213826_s_at	H3 histone, family 3A
213827_at	Rho GTPase activating protein 33
213828_x_at	H3 histone, family 3A
213828_x_at	H3 histone, family 3B (H3.3B)
213828_x_at	H3 histone, family 3A, pseudogene 4
213829_x_at	regulator of telomere elongation helicase 1
213830_at	YME1-like 1 ATPase
213831_at	major histocompatibility complex, class II, DQ alpha 1
213832_at	potassium channel, voltage gated Shal related subfamily D, member 3
213833_x_at	HIG1 hypoxia inducible domain family, member 2A
213833_x_at	NOP16 nucleolar protein
213834_at	IQ motif and Sec7 domain 3
213835_x_at	GTP binding protein 3 (mitochondrial)
213836_s_at	WD repeat domain, phosphoinositide interacting 1
213837_at	l(3)mbt-like 1 (Drosophila)
213838_at	nucleolar protein 7, 27kDa
213839_at	calmin (calponin-like, transmembrane)
213840_s_at	mitochondrial ribosomal protein S12
213841_at	tenascin R
213842_x_at	NOP2/Sun domain family, member 5 pseudogene 2
213842_x_at	NOP2/Sun domain family, member 5 pseudogene 1
213843_x_at	solute carrier family 6 (neurotransmitter transporter), member 8
213844_at	homeobox A5
213845_at	glutamate receptor, ionotropic, kainate 2
213846_at	cytochrome c oxidase subunit VIIc
213847_at	peripherin
213848_at	dual specificity phosphatase 7
213849_s_at	protein phosphatase 2, regulatory subunit B, beta
213850_s_at	SR-related CTD-associated factor 11
213851_at	transmembrane protein 110
213852_at	gonadotropin-releasing hormone (type 2) receptor 2, pseudogene
213852_at	RNA binding motif protein 8A
213853_at	DnaJ (Hsp40) homolog, subfamily C, member 24
213854_at	synaptogyrin 1
213855_s_at	LIPE antisense RNA 1
213855_s_at	lipase, hormone-sensitive
213856_at	CD47 molecule
213857_s_at	CD47 molecule
213858_at	zinc finger protein 250
213859_x_at	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5
213860_x_at	casein kinase 1, alpha 1
213861_s_at	methyltransferase like 21B
213862_at	patatin-like phospholipase domain containing 2
213863_s_at	mitochondrial ribosomal protein L9
213863_s_at	ornithine decarboxylase antizyme 3
213864_s_at	nucleosome assembly protein 1-like 1
213865_at	discoidin, CUB and LCCL domain containing 2
213866_at	sterile alpha motif domain containing 14
213867_x_at	actin, beta
213868_s_at	dehydrogenase/reductase (SDR family) member 7
213869_x_at	Thy-1 cell surface antigen
213870_at	collagen, type XI, alpha 2
213871_s_at	2'-deoxynucleoside 5'-phosphate N-hydrolase 1
213872_at	NA
213873_at	discoidin, CUB and LCCL domain containing 2
213873_at	ST3 beta-galactoside alpha-2,3-sialyltransferase 6
213874_at	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 4
213875_x_at	chromosome 6 open reading frame 62
213876_x_at	zinc finger (CCCH type), RNA-binding motif and serine/arginine rich 2
213877_x_at	transcription elongation factor B (SIII), polypeptide 2 (18kDa, elongin B)
213878_at	pyridine nucleotide-disulphide oxidoreductase domain 1
213879_at	NA
213880_at	leucine-rich repeat containing G protein-coupled receptor 5
213881_x_at	small ubiquitin-like modifier 2
213881_x_at	small ubiquitin-like modifier 3
213881_x_at	small ubiquitin-related modifier 2-like
213882_at	TM2 domain containing 1
213883_s_at	TM2 domain containing 1
213884_s_at	tripartite motif containing 3
213885_at	tripartite motif containing 3
213887_s_at	polymerase (RNA) II (DNA directed) polypeptide E, 25kDa
213888_s_at	TRAF3 interacting protein 3
213889_at	phosphatidylinositol glycan anchor biosynthesis, class L
213890_x_at	ribosomal protein S16
213891_s_at	transcription factor 4
213892_s_at	adenine phosphoribosyltransferase
213893_x_at	PMS1 homolog 2, mismatch repair system component pseudogene 2
213893_x_at	PMS1 homolog 2, mismatch repair system component pseudogene 5
213893_x_at	PMS1 homolog 2, mismatch repair system component pseudogene 9
213894_at	thrombospondin, type I, domain containing 7A
213895_at	epithelial membrane protein 1
213896_x_at	family with sequence similarity 149, member B1
213897_s_at	mitochondrial ribosomal protein L23
213898_at	RNA binding protein, fox-1 homolog (C. elegans) 2
213899_at	methionyl aminopeptidase 2
213900_at	family with sequence similarity 189, member A2
213901_x_at	RNA binding protein, fox-1 homolog (C. elegans) 2
213902_at	N-acylsphingosine amidohydrolase (acid ceramidase) 1
213903_s_at	RCD1 required for cell differentiation1 homolog (S. pombe)
213904_at	ferric-chelate reductase 1-like
213905_x_at	biglycan
213906_at	v-myb avian myeloblastosis viral oncogene homolog-like 1
213907_at	eukaryotic translation elongation factor 1 epsilon 1
213908_at	WAS protein homolog associated with actin, golgi membranes and microtubules pseudogene 3
213908_at	WAS protein homolog associated with actin, golgi membranes and microtubules pseudogene 2
213909_at	leucine rich repeat containing 15
213910_at	insulin-like growth factor binding protein 7
213911_s_at	H2A histone family, member Z
213912_at	TBC1 domain family, member 30
213913_s_at	TBC1 domain family, member 30
213914_s_at	spectrin, beta, non-erythrocytic 1
213915_at	natural killer cell granule protein 7
213916_at	zinc finger protein 20
213916_at	ZNF625-ZNF20 readthrough (NMD candidate)
213917_at	paired box 8
213918_s_at	Nipped-B homolog (Drosophila)
213919_at	DnaJ (Hsp40) homolog, subfamily C, member 4
213920_at	cut-like homeobox 2
213921_at	somatostatin
213922_at	tau tubulin kinase 2
213923_at	RAP2B, member of RAS oncogene family
213924_at	guanine nucleotide binding protein (G protein), alpha activating activity polypeptide, olfactory type
213925_at	chromosome 1 open reading frame 95
213926_s_at	ArfGAP with FG repeats 1
213927_at	mitogen-activated protein kinase kinase kinase 9
213928_s_at	ArfGAP with FG repeats 1
213929_at	exophilin 5
213930_at	autophagy related 12
213931_at	inhibitor of DNA binding 2, dominant negative helix-loop-helix protein
213931_at	inhibitor of DNA binding 2B, dominant negative helix-loop-helix protein (pseudogene)
213932_x_at	major histocompatibility complex, class I, A
213933_at	prostaglandin E receptor 3 (subtype EP3)
213934_s_at	zinc finger protein 23
213935_at	abhydrolase domain containing 5
213936_x_at	surfactant protein B
213937_s_at	FtsJ RNA methyltransferase homolog 1 (E. coli)
213938_at	ELKS/RAB6-interacting/CAST family member 2
213939_s_at	RUN and FYVE domain containing 3
213940_s_at	formin binding protein 1
213941_x_at	ribosomal protein S7
213942_at	multiple EGF-like-domains 6
213943_at	twist family bHLH transcription factor 1
213944_x_at	guanine nucleotide binding protein (G protein), alpha 11 (Gq class)
213945_s_at	nucleoporin 210kDa
213946_s_at	obscurin-like 1
213947_s_at	nucleoporin 210kDa
213948_x_at	cell adhesion molecule 3
213949_s_at	deoxyhypusine hydroxylase/monooxygenase
213950_s_at	protein phosphatase 3, catalytic subunit, gamma isozyme
213951_s_at	PSMC3 interacting protein
213952_s_at	arachidonate 5-lipoxygenase
213953_at	keratin 20, type I
213954_at	family with sequence similarity 169, member A
213955_at	myozenin 3
213956_at	centrosomal protein 350kDa
213957_s_at	centrosomal protein 350kDa
213958_at	CD6 molecule
213959_s_at	RPGRIP1-like
213960_at	neurotrophic tyrosine kinase, receptor, type 3
213961_s_at	TAF6-like RNA polymerase II, p300/CBP-associated factor (PCAF)-associated factor, 65kDa
213962_s_at	ankyrin repeat and LEM domain containing 2
213963_s_at	Sin3A-associated protein, 30kDa
213964_x_at	RPARP antisense RNA 1
213965_s_at	chromodomain helicase DNA binding protein 5
213966_at	high mobility group 20B
213967_at	RALY RNA binding protein-like
213968_at	tetraspanin 5
213969_x_at	ribosomal protein L29
213970_at	RAB, member of RAS oncogene family-like 3
213971_s_at	SUZ12 polycomb repressive complex 2 subunit pseudogene 1
213971_s_at	SUZ12 polycomb repressive complex 2 subunit
213972_at	forkhead box D1
213973_at	ribosome binding protein 1
213974_at	ADAMTS-like 3
213975_s_at	lysozyme
213976_at	CDKN1A interacting zinc finger protein 1
213977_s_at	CDKN1A interacting zinc finger protein 1
213978_at	metastasis suppressor 1-like
213979_s_at	NA
213980_s_at	C-terminal binding protein 1
213981_at	catechol-O-methyltransferase
213982_s_at	RAB GTPase activating protein 1-like
213983_s_at	PDS5 cohesin associated factor A
213984_at	PDS5 cohesin associated factor A
213985_s_at	transmembrane protein 259
213986_s_at	transmembrane protein 259
213987_s_at	cyclin-dependent kinase 13
213988_s_at	spermidine/spermine N1-acetyltransferase 1
213989_x_at	SET domain containing 4
213990_s_at	p21 protein (Cdc42/Rac)-activated kinase 7
213991_s_at	heparan sulfate (glucosamine) 3-O-sulfotransferase 1
213992_at	collagen, type IV, alpha 6
